id,text,is,category3
1,¡Ahhh   pero un piropo a una chera es considerado acoso sexual y delito! Más no hay problema en abortar a un hijo   la eutanasia a un padre/abuelo   que los trans vayan a baños de mujeres y las trans a baños de hombres ¿Qué sigue? ¿Incesto   necrofilia   pederastia y bestialismo?,1,1
2,Invitar a salir a una mujer y que automáticamente piense que nos la queremos coger   es un pensamiento feminazi. Aunque si   pero pues no.,1,1
3,"Mujeres   llegó la hora del almuerzo y deben cocinarle a su marido   porque la Convención de Ginebra dice que:
""Todo prisionero tiene derecho a una comida caliente""",1,1
4,"Si lo vemos en perspectiva   los tacos son una comida completamente balanceada... 
- otro de lenguita amors... 
- *la bicha se emociona* 
- le decía a la mesera   bicha calenturienta",1,1
5,Si esa maldita pécora tóxica exige respeto que comience por respetar. Se creen los dueños del país y tratan al ciudadano común como basura.,1,1
6,"En algún tiempo:
—MTV daba videos musicales.
—YouTube no tenía anuncios.
—Vender la vulva aunque sea en videos   era de putas y no de una mujer luchona digna de admiración y respeto.",1,1
7,Claaaaaroo!!!  Estás opacando a esa luchona al nobrar al macho opresor...  ,1,1
8,Se supone que todas esas caritas son de las dignas   ya me metí en problemas y me acusarán por ser hombre y por maltrato femenil.,1,1
9,Vos sos puta estás ardida porqué no te agarraron los calzones.,1,1
10,Que tóxica andas Perrucha,1,1
11,Una de estas mujeres quiero 4X4   no una Barbie de vitrina de las que pasan solo pintándose las uñas y no lava ni el plato donde come   ni los calzones   mejor le pagan a una señora para que les hagan todo   con tal de no despintarse las uñas   mis respetos a esta bella mujer.,1,1
12,Comprarle calzones de puta a una niña de 17 años y esperar que no haga nada...,1,1
13,Si piensas que andar de bar en bar encontrarás un buen hombre mija   estás pendeja.,1,1
14,Si ya sabemos que tienes las tetas hechas pero y la cara de pendeja aún la tienes.,1,1
15,Cara de machorra tiene.,1,1
16,Mujer menopausica a la vista.,1,1
17,Típico que cortan y sales como locas desatadas en busca de nuevo masho.,1,1
18,Espero despues no llore como niña lo que no defendió como hombre. ,1,1
19,Puta y eso que no hubo alguien que le dijiera lo ridícula que se ve   como toda una morza se ve,1,1
20,Tanto drama.. por algo que los salvadoreño es normal gorda   seca   chele   negro   bicho   animal   cipote...,1,1
21,Quién te hiso tanto daño nena   no todos los hombres son iguales   sabias que también hay mujeres acosadoras   violadoras   maltratadoras etc. La maldad no tiene género   saludos!!!,1,1
22,"Las verdaderas hembras alfa   tracero nalguiable   papaya depilada   chiches de montaña   pezón de pancakes y cerebro activo nunca disen: ""Hoy no mi amor   por que estoy en mis dias""   nada !! ellas dicen: 'Echamelo papasito y ahorita hacemos el delicioso"".",1,1
23,Yo no soy machista porqué no golpeo a ninguna mujer,1,1
24,Hay carreras para hombres y carreras para mujeres,1,1
