id,text,is,category1
1,Sólo un imbécil golpea a una mujera para que obedezca. Si la amenzas con matar a su mamá obedece más rápido.,1,1
2,Las historias de acoso sexual en el transporte público no deben ser parte de la normalidad.,1,1
3,Pregunta seria: Se le llama ACOSO   cuando te escribe la persona que no te interesa. Pero cuando tu escribes y hostigas a la persona que sí te interesa ¿Sigue siendo acosoo no?,1,1
4,¿Que pasó @user? ¿Para cuando el comunicado condenando las acciones del misógino de @user? ¿Nada que decir? ¿Calladitas?,1,1
5,La mujer es lo más bello de la creación y tiene un sitio preponderante en este mundo   pero   lo malo es que no se dan su lugar y bailan hasta vulgaridades con letras que denigran a ellas mismas.,1,1
6,"Las zorras te insultan pero si tú les dices algo es femenicidio y hay hasta demandas pero ni aún así pueden ganar
",1,1
7,Fea esa zorra de pelo rubio,1,1
8,¿Pregunta a los tigres? ¿Antes habían diputadas más zorras y más buenas que ahora ?,1,1
9,Pobre vieja estúpida sabes perfectamente que los precios del combustible no los controla el gobierno o acaso tenemos pozos de petróleo o plantas de sus derivados para poder tener control de esos precios fueras más fea fueras más pendeja.,1,1
10,Que necesitas una esposa y varias putas para tener balance en tu vida.,1,1
11,La burra en vez de arreglarse las tetas    se hubiera arreglado la geta.,1,1
12,Si el miércoles es el #OmbliguitoDeSemana y la semana es fémina   por lo tanto me gusta más el jueves porque vendría siendo su culo o su coño   recuerden: “ya va de bajada la semana”. Si fuera para arriba serían las tetas   a mí no me gustan pero siempre es mejor el jueves.,1,1
13,"Iba a escribirle a alguien: ""muy buenas tetas y tremendo culo   muy bonitas ambas cosas” Pero ya luego te bloquean y te dicen patán y otro montón de insultos. Si subes fotos de escote con zoom en los correspondientes y luego una foto de espalda resaltando el ass ",1,1
14,"En mi libro ""jalan más un par de tetas que un par de carretas"" explico el poder que tiene la mujer sobre el hombre.",1,1
15,Semejante GUSANO pedile perdón a  tu mamá por bruja y sapa!!,1,1
16,Jajajaja jajajaja jajajaja gran análisis de economía de está vieja bruja está está peor que la gran estudiosa de la Esen que salió con @user,1,1
17,Es una diputada malvada e indeseable. ,1,1
18,Esa vieja bruja diabólica mejor hubiera regalado a la criaturita   viva deberían quemar semejante bestia,1,1
19,La @user nalgas de paleta de remo ya puso a temblar a la URSS,1,1
20,¿Cuántas que andan de calenturientas   que salen preñadas   dirían que fueron violadas? Cuál va hacer esa línea delgada que separa esto,1,1
21,Bueno de todo hay en la viña del señor   yo sí estoy de acuerdo con las causales de violaciones o riesgos de la madre y el niño   pero por andar de calenturienta nooo! Esas que la soquen por dundas,1,1
22,Hoy me venían acariciando el pene en el micro de la 42 ,1,1
23,El man ya parece   aquella nana luchona que no supera al ex que la dejó con 2 bendiciones   que son la cagada de él y que se fue con otra vieja   lo vive maldiciendo y echandole la culpa de todo lo que le pasa,1,1
24,Nadie tiene derecho a joderle la vida al otro. Hay mujeres que se aprovechan de como están la leyes beneficiandolas y eso se vuelve una trampa para el hombre y eso tampoco se vale.,1,1
25,Me cagan las majes que se la llevan de dignas cuando ya todo el mundo sabe que les fascina la mazorca.,1,1
26,Cuando una mujer dice que No es NO   ni modo me tocó estudiar el doble para que no me dejara la materia,1,1
27,Tu madre vieja puta   despechada porque no le dieron su hueso. Le tiraba los calzones a @user y no le hizo caso   por eso está ardida despechada.,1,1
28,Eso es dificil de creer   pero sin papeles quedas como vieja chambrosa y ardida.,1,1
29,Si que estas ardida mujer   ya calmate deja de quejarte.,1,1
30,Maje   solo enojada porque no le contestaba   es tóxica JAJAJAJAJAJA,1,1
31,"Mi novia anoche me dijo ""estoy sin calzones"" le dije que mañana le comprare una docena.",1,1
32,Si te digo que estoy triste   es para que me mandes fotos en calzones.,1,1
33,Estas escuálidas creen que porque están en un programa se imaginan que son inmunes y belleza   no son esos calzones lo que son   son remendadas...,1,1
34,Calzones mata pasiones.,1,1
35,Y a vos te van a bajar los calzones todos tus maridos pasmada   vos sos la que escribir sólo estupideces y pendejadas idiota.,1,1
36,Si usted sueña con el diablo en calzones usted lo quiere es coger señora.,1,1
37,Este tuit de la @user es culpa de la frente que se maneja   le ocupa más espacio que el cerebro...,1,1
38,A toda perra malnacida y venenosa le llegar su turno.,1,1
39,Más pendeja   venenosa y repugnante no podés ser...,1,1
40,Ya ponete a dieta @user estás tragando mucho...,1,1
41,Ardido quedó el Borracho-Drogo porque no se las prestó a él. Ni cosquillas le hubiera hecho a la Golosa Afro-Salvadoreña,1,1
42,La de rosa tiene plante de golosa,1,1
43,Jajajaja jajajaja jajajaja   esta loca borracha ha de estar para   hablar sandeces.,1,1
44,Pues a mí me gusta que sea borracha conmigo y que sea más puta pero solo conmigo...,1,1
45,Vieja menopausica   falta de marido.,1,1
46,Visceral la hormonal menopausica esa.,1,1
47,Esa loquita alias la @user mal cogida   esta ya que anda en grinder buscando paloma ....,1,1
48,Maldita Gorda fondonga HDP que no se apresura y la Pendeja que atiende tampoco,1,1
49,Aparte de sus fracasos como Alcaldesa de San Salvador   y como Ministra de Salud   esta vieja si que es feya!,1,1
50,"Es que de forma general es muy dificil aunque no imposible   les detallo : Una mujer bien ""feya"" que quiera que un super guapo le haga caso o una Mujer Bonita que se deje de un viejo o marero   indiscutiblemente se trata de interes por dinero. Si hablamos de Amor es en otro planeta",1,1
51,Pocta...asi como es de feya es de pendeja....,1,1
52,Las mamas solteras son mas socadas que una chera sin hijos,1,1
53,Feas y socadas nadie las quieres... jajaja,1,1
54,Las niñas bonitas siempre son socadas... y las feas son ofrecidas hahahahha!,1,1
55,Si hay pelito no hay delito,1,1
56,"Así muchas mujeres! Se dejan embarazar   tiene su bendición pero dolidas porque la dejo el papá de la niña   consiguen a otro que ""medio las quiere"" y este engendro viola a la hijastra y la madre bien gracias   porque el engendro es ""el amor de su vida"" y la niña no ",1,1
57,Seguro ya no la quiere y ella de necia   es que tambiem a veces las mujeres tienen la culpa   les gusta el desprecio y el maltrato… seguro que el tipo no es primera vez que se la suena…,1,1
58,Done! mujeres hablando de trip sexual y lo que sienten   yo sé   es una fantasía   las mujeres no sienten nada ¡está muy bueno! Y entiendo un tanto porqué sigo más sólo que la una... pero en fin   aceptarse es el primer paso   así que ya no la tengo chiquita amigas.,1,1
59,La lluvia al igual que las mujeres; sólo nos entusiasman,1,1
60,Las mujeres nunca se disculpan... solo duermen desnudas y tu decides si sigues enojado o no...,1,1
61,¿Que los hombres no sufrimos discriminación? Ja   hay empresas en las que solo contratan mujeres y ante eso nadie dice nada,1,1
62,Las mujeres son unas grandes engreídas uno les ayuda en el autobús ni gracias dicen las salvajes solo les gusta que hombres las hagan puños en los buses y el que las trata con respeto hasta como perro lo ven a uno que desgracia de salvadoreñas,1,1
63,"Excel es como las mujeres   hace todo el trabajo que le indiques siempre y cuando uses el lenguaje adecuado y las palabras exactas   ya luego sólo tienes que apretar un botón o arrastrar; a las mujeres igual   sólo que en lugar de arrastrar es “bajar el calzón""",1,1
64,¿Por qué las feministas hacen desvergue solo por mujeres asesinadas por hombres? y las que son asesinadas por las mismas mujeres no dicen ni mierda.,1,1
65,Ya no creo en el amor ni en las mujeres solo para hacerlo mierda sirven,1,1
66,Que barbaridad de mujeres. Con sólo no abrir las patas se evitan eso y punto.,1,1
67,Díganle a las feministas que estas si son verdaderas mujeres.  No solo luchan por su país   sino también por su hogar,1,1
68,Estas mujeres solo se preocupan mas por la apariencia   el buen vestir y llegar a modelar porque no se preparan intelectualmente   no leen   no estudian mas profundamente las leyes y articulos de nuestra constitucion bien dicen que para bruto nose estudia mucho,1,1
69,Hay mujeres que solo porque les digas buenos dias con una sonrisa   piensan que estas interesado en ellas   Aunque no sea asi,1,1
70,No me agrada ver a una chica fumando   eso le vota lo femenino   lo grandioso de una chica   la hace ver qué es una de las que hacen el amor por dinero.,1,1
71,¿Colocha? Sería mejor: Greñuda,1,1
72,La elefanta le hubiera dicho,1,1
73,La gordita ...peleándose ahorita en la @AsambleaSV con sus colegas diputadas...,1,1
74,2 horas de pleitos y dime que te diré...pobre gorda bailadora....que devengue y empiece a trabajar...,1,1
75,Me bloqueó porque le dije que tenia lomo de chicote levanta caca.,1,1
76,Esa cerda necesita un anillo en el hocico   mucho bla bla no más puro veneno expulsa la cerda,1,1
77,A la puta como no va a estar enojada   se muere de la envidia   mire pues: a ver si reconoce este culito??,1,1
78,bruta.... pelionera,1,1
79,Fijate @twiter que viendola bailar en ese tik tok creo que esa chica es mala en la cama. Por eso su resentimiento!!!,1,1
80,La changa de la @user se comió todos los platos servidos para el pueblo   lo empobreció y llenó sus graneros de comida   por la vaca gorda de la @user y otras,1,1
81,Como las viejas huevonas que usan manguera para lavar las aceras.,1,1
82,¿Y todas estas haraganas y vagas no tienen algo mejor que hacer???,1,1
83,Ahi deberían de andar los curas apoyando esas locas son iguales   ellas los abortan y los curas los abusan.,1,1
84,"—¿Usted está a favor de disminuir la desigualdad entre hombres y mujeres?
—Por supuesto.
—¿Está a favor de las cuotas de género?
—Claro que sí.
—¿Eso no es contradictorio?",1,1
85,Si la golpeada hubiera sido una mujer ¿pensaría distinto? . ¿Se buscaría una justificación? ¿Qué piensa?,1,1
86,Deja de repetir lo que vez en cuatrovisión hija!!!!. ¿Sabes qué significa la palabra régimen   y qué es democracia? Solo hablan y repiten lo que escucha. El salvador y su gobierno son tan democráticos que podés expresar tus barrabasadas y yo refutarte tal cual país libre !!!!,1,1
87,Ya aburren solo picándocela de víctimas,1,1
88,Pero cómo voy a ser machista si me he criado rodeado de mujeres,1,1
89,No todos somos iguales. Yo no soy un violador y nunca he pegado a una mujer,1,1
90,La violencia no tiene género. También hay mujeres que pegan y asesinan,1,1
91,Cuando las mujeres dicen NO quieren decir SÍ,1,1
92,“Ella también tiene que respetarse   se viste así y luego se quejan cuando les pasa algo”,1,1
93,El “no” de una mujer significa: “ruégame un poco más”,1,1
94,Detrás de un hombre hay una gran mujer,1,1
95,Los hombres no lloran,1,1
96,Los hombres son más razón y las mujeres más emoción,1,1
97,Si un niño te trata mal es porque le gustas,1,1
98,La mayoría son esas viejas provocativas que salen ahí pero cuando tú te las pones claro te ignoran,1,1
99,¿Por qué les gusta venir a una red social   quedar de mujer abnegada y ejemplar?,1,1
100,En este día tan especial de las madres   queremos felicitar a esa persona abnegada   tierna   amorosa   abnegada y fiel con nosotros!!,1,1
101,La terrible muerte de la profsona y sus papas... Se me hace que es pasional,1,1
102,Ahí anda una página publicando casos de acoso    no veo emitiendo su opinión acerca del acoso que cometía la involucrada en el relajo de anoche   al punto de llevarla a intentar asesinar a otra persona por celos   que habría pasado si hubiera sido hombre el atacante....,1,1
